,,,players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2223,vs Leeds United,29,53.1,38,24304,2447,8102,10849,5573,872,24298,973,451,46.4,412,42.3,13328,67350,33950,596,423,189,630,428,14978,1455,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
ENG-Premier League,2223,vs Leicester City,28,52.4,38,24725,2155,7422,11141,6380,917,24720,771,361,46.8,308,39.9,13966,74211,38197,721,547,177,517,392,16475,1559,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
ENG-Premier League,2223,vs Liverpool,28,38.9,38,20607,3079,8404,8219,4189,677,20603,751,367,48.9,281,37.4,10557,53483,26434,505,332,166,586,309,11858,1090,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
ENG-Premier League,2223,vs Manchester City,24,34.7,38,18167,3258,8426,6598,3319,561,18164,531,250,47.1,212,39.9,9794,49417,23538,434,310,125,442,259,11200,853,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
ENG-Premier League,2223,vs Manchester Utd,26,46.0,38,21994,2733,7668,9000,5563,975,21991,718,297,41.4,301,41.9,11694,65364,34500,697,492,206,572,357,13634,1343,/en/squads/19538871/2022-2023/Manchester-United-Stats
ENG-Premier League,2223,vs Newcastle Utd,27,47.6,38,20772,2819,7684,8651,4660,722,20766,733,335,45.7,307,41.9,10893,57872,29370,600,367,167,525,300,12338,1188,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
ENG-Premier League,2223,vs Nott'ham Forest,33,62.8,38,26490,2033,7131,12307,7232,1106,26481,697,288,41.3,296,42.5,15879,86558,47243,813,585,216,557,363,18267,1880,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
ENG-Premier League,2223,vs Southampton,36,55.6,38,24922,2333,7919,11070,6171,1055,24919,690,314,45.5,297,43.0,14205,70898,35408,653,447,221,590,417,16240,1717,/en/squads/33c895d4/2022-2023/Southampton-Stats
ENG-Premier League,2223,vs Tottenham,29,50.1,38,24011,2364,6699,10897,6627,935,24007,659,299,45.4,275,41.7,13878,69544,33624,685,524,212,541,344,15945,1497,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
ENG-Premier League,2223,vs West Ham,25,58.2,38,27046,2677,8407,12188,6690,975,27040,655,292,44.6,270,41.2,16219,85084,44739,805,613,222,567,338,18737,1709,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
ENG-Premier League,2223,vs Wolves,32,49.8,38,22413,2222,6907,9715,6004,1041,22409,706,323,45.8,286,40.5,12748,69224,35818,702,495,218,570,375,14439,1575,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
