,,,,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Chelsea,Davide Zappacosta,ITA,DF,26,1992,1.4,3,2.11,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Chelsea,Eden Hazard,BEL,FW,27,1991,32.5,221,6.8,143,17,28,7,24,2,33,1.02,17,3,10,1,2,0
ENG-Premier League,1819,Chelsea,Emerson Palmieri,ITA,DF,23,1994,7.4,16,2.17,14,0,1,0,0,1,1,0.14,1,0,0,0,0,0
ENG-Premier League,1819,Chelsea,Gary Cahill,ENG,DF,32,1985,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Chelsea,Gonzalo Higuaín,ARG,FW,30,1987,12.1,33,2.74,29,0,1,3,0,0,4,0.33,4,0,0,0,0,0
ENG-Premier League,1819,Chelsea,Jorginho,ITA,MF,26,1991,35.1,73,2.08,70,0,0,0,1,2,5,0.14,5,0,0,0,0,0
ENG-Premier League,1819,Chelsea,Kepa Arrizabalaga,ESP,GK,23,1994,36.0,1,0.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Chelsea,Marcos Alonso,ESP,DF,27,1990,30.7,66,2.15,55,1,0,5,4,1,10,0.33,6,0,0,2,2,0
ENG-Premier League,1819,Chelsea,Mateo Kovačić,CRO,MF,24,1994,19.3,64,3.32,50,1,5,3,4,1,4,0.21,4,0,0,0,0,0
ENG-Premier League,1819,Chelsea,N'Golo Kanté,FRA,MF,27,1991,34.4,94,2.74,89,1,0,1,1,2,5,0.15,5,0,0,0,0,0
ENG-Premier League,1819,Chelsea,Olivier Giroud,FRA,FW,31,1986,9.4,30,3.19,28,0,0,1,0,1,4,0.43,3,0,0,1,0,0
ENG-Premier League,1819,Chelsea,Pedro,ESP,FW,31,1987,19.8,81,4.1,68,1,7,2,1,2,8,0.4,6,0,2,0,0,0
ENG-Premier League,1819,Chelsea,Ross Barkley,ENG,MF,24,1993,13.8,55,3.98,43,0,3,4,2,3,9,0.65,7,0,0,1,0,1
ENG-Premier League,1819,Chelsea,Ruben Loftus-Cheek,ENG,"MF,FW",22,1996,11.1,49,4.42,37,0,6,2,2,2,5,0.45,5,0,0,0,0,0
ENG-Premier League,1819,Chelsea,Victor Moses,NGA,FW,27,1990,0.3,2,6.43,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Chelsea,Willian,BRA,FW,29,1988,23.3,144,6.18,88,35,6,5,8,2,8,0.34,5,2,0,0,1,0
ENG-Premier League,1819,Chelsea,Willy Caballero,ARG,GK,36,1981,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Chelsea,Álvaro Morata,ESP,FW,25,1992,10.5,29,2.77,23,0,2,1,3,0,1,0.1,1,0,0,0,0,0
ENG-Premier League,1819,Crystal Palace,Aaron Wan-Bissaka,ENG,DF,20,1997,34.8,48,1.38,35,4,7,1,0,1,7,0.2,4,1,1,1,0,0
ENG-Premier League,1819,Crystal Palace,Alexander Sørloth,NOR,FW,22,1995,2.1,7,3.41,6,0,0,0,1,0,1,0.49,1,0,0,0,0,0
ENG-Premier League,1819,Crystal Palace,Andros Townsend,ENG,"FW,MF",27,1991,33.4,145,4.34,107,8,14,5,9,2,11,0.33,9,0,0,1,1,0
ENG-Premier League,1819,Crystal Palace,Bakary Sako,MLI,FW,30,1988,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Crystal Palace,Cheikhou Kouyaté,SEN,MF,28,1989,21.1,34,1.61,23,0,1,6,2,2,2,0.09,1,0,0,0,1,0
ENG-Premier League,1819,Crystal Palace,Christian Benteke,BEL,FW,27,1990,9.0,16,1.77,13,0,1,1,1,0,2,0.22,1,0,0,0,1,0
ENG-Premier League,1819,Crystal Palace,Connor Wickham,ENG,"FW,MF",25,1993,0.7,2,2.69,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Crystal Palace,James McArthur,SCO,MF,30,1987,34.0,73,2.15,62,2,1,4,4,0,11,0.32,7,1,0,1,2,0
ENG-Premier League,1819,Crystal Palace,James Tomkins,ENG,DF,29,1989,28.4,16,0.56,14,1,0,1,0,0,2,0.07,2,0,0,0,0,0
ENG-Premier League,1819,Crystal Palace,Jason Puncheon,ENG,MF,32,1986,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Crystal Palace,Jeffrey Schlupp,GHA,"MF,FW",25,1992,18.6,26,1.4,22,0,1,1,2,0,3,0.16,1,0,1,0,1,0
ENG-Premier League,1819,Crystal Palace,Joel Ward,ENG,DF,28,1989,6.1,8,1.3,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Crystal Palace,Jordan Ayew,GHA,FW,26,1991,13.1,33,2.51,21,0,1,5,4,2,5,0.38,3,0,0,1,0,1
