,,,,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brighton,James Milner,ENG,MF,38-354,1986,1.9,73,62,11,4,2,0,8,0,6,2,3,0,55,0,1
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24-198,2000,13.9,1042,975,66,52,3,8,5,4,0,0,0,0,940,1,3
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,34-127,1990,2.0,112,104,8,6,0,0,0,0,0,0,0,0,101,0,0
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22-190,2002,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
ENG-Premier League,2425,Brighton,João Pedro,BRA,"MF,FW",23-088,2001,8.5,282,265,16,4,5,1,12,4,4,0,0,0,208,1,6
ENG-Premier League,2425,Brighton,Joël Veltman,NED,DF,32-343,1992,11.4,520,414,105,18,1,1,13,87,0,0,0,0,412,1,19
ENG-Premier League,2425,Brighton,Julio Enciso,PAR,"MF,FW",20-335,2004,1.8,107,92,15,4,0,0,16,0,11,5,3,0,74,0,3
ENG-Premier League,2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27-217,1997,16.1,545,537,6,0,5,1,44,6,0,0,0,0,421,2,22
ENG-Premier League,2425,Brighton,Lewis Dunk,ENG,DF,33-032,1991,12.0,1030,950,79,37,1,4,2,7,0,0,0,0,939,1,5
ENG-Premier League,2425,Brighton,Mats Wieffer,NED,MF,25-037,1999,5.2,334,328,6,4,0,1,1,2,0,0,0,0,288,0,9
ENG-Premier League,2425,Brighton,Matt O'Riley,DEN,MF,24-032,2000,2.5,85,68,16,4,1,1,9,0,7,6,1,0,69,1,2
ENG-Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,26-337,1998,11.8,769,653,116,13,0,4,73,78,25,18,5,0,642,0,15
ENG-Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",22-357,2002,3.9,135,130,4,0,1,0,14,4,0,0,0,0,100,1,5
ENG-Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,24-084,2000,2.9,140,121,18,1,0,0,8,17,0,0,0,0,119,1,1
ENG-Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20-154,2004,5.9,171,150,20,5,1,2,36,7,8,4,3,0,104,1,14
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,21-078,2003,9.2,404,367,37,15,7,1,32,1,16,11,3,0,328,0,7
ENG-Premier League,2425,Chelsea,Axel Disasi,FRA,DF,26-287,1998,3.0,208,187,21,10,0,1,0,11,0,0,0,0,189,0,1
ENG-Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,23-272,2001,2.8,223,214,8,5,0,1,0,0,0,0,0,0,200,1,0
ENG-Premier League,2425,Chelsea,Christopher Nkunku,FRA,FW,27-039,1997,3.6,105,102,3,0,0,1,1,0,2,0,0,0,96,0,0
ENG-Premier League,2425,Chelsea,Cole Palmer,ENG,MF,22-231,2002,16.4,675,559,113,24,11,8,81,10,52,37,5,0,500,3,24
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,23-341,2001,12.8,793,729,61,26,8,13,36,2,32,24,0,0,659,3,12
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22-251,2002,1.0,21,20,1,1,0,0,0,0,0,0,0,0,17,0,0
ENG-Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,24-273,2000,7.4,336,329,7,1,5,0,7,6,0,0,0,0,284,0,11
ENG-Premier League,2425,Chelsea,João Félix,POR,"FW,MF",25-043,1999,3.3,160,156,3,1,2,1,0,2,0,0,0,0,137,1,3
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,MF,26-108,1998,0.7,47,46,1,0,0,0,0,0,1,0,0,0,39,0,0
ENG-Premier League,2425,Chelsea,Levi Colwill,ENG,DF,21-301,2003,16.0,1203,1127,74,36,3,6,6,4,0,0,0,0,1078,2,13
ENG-Premier League,2425,Chelsea,Malo Gusto,FRA,DF,21-218,2003,11.6,724,644,79,23,1,3,31,56,0,0,0,0,630,1,14
ENG-Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26-154,1998,13.0,766,664,102,14,1,0,15,88,0,0,0,0,683,0,5
ENG-Premier League,2425,Chelsea,Marc Guiu,ESP,FW,18-354,2006,0.3,4,3,1,0,0,0,0,0,0,0,0,0,3,0,0
ENG-Premier League,2425,Chelsea,Moisés Caicedo,ECU,MF,23-051,2001,16.7,1003,977,24,17,6,8,7,7,0,0,0,0,892,2,13
ENG-Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,FW,23-353,2001,1.7,42,40,2,0,1,0,7,0,2,0,0,0,28,0,1
ENG-Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23-186,2001,14.0,227,216,9,1,0,0,3,2,0,0,0,0,166,2,8
ENG-Premier League,2425,Chelsea,Noni Madueke,ENG,FW,22-288,2002,11.5,349,336,9,0,1,2,28,9,0,0,0,0,277,4,10
ENG-Premier League,2425,Chelsea,Pedro Neto,POR,FW,24-289,2000,9.0,316,298,17,3,0,1,43,5,9,3,0,0,250,1,8
ENG-Premier League,2425,Chelsea,Reece James,ENG,DF,25-015,1999,2.7,221,185,36,13,3,1,15,15,8,7,0,0,183,0,1
ENG-Premier League,2425,Chelsea,Renato Veiga,POR,"DF,MF",21-147,2003,2.0,139,127,12,5,0,0,0,7,0,0,0,0,118,0,1
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,27-035,1997,16.0,640,553,84,39,0,3,0,0,0,0,0,0,471,3,1
ENG-Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,20-352,2004,5.3,265,262,2,2,2,2,0,0,0,0,0,0,244,1,1
ENG-Premier League,2425,Chelsea,Tosin Adarabioyo,ENG,DF,27-090,1997,4.9,388,371,16,10,0,1,0,1,0,0,0,0,356,1,3
ENG-Premier League,2425,Chelsea,Wesley Fofana,FRA,DF,24-006,2000,11.3,703,666,36,21,0,0,1,14,0,0,0,0,630,1,4
ENG-Premier League,2425,Crystal Palace,Adam Wharton,ENG,MF,20-204,2004,6.9,362,340,21,8,2,1,16,0,13,8,1,0,285,1,6
ENG-Premier League,2425,Crystal Palace,Asher Agbinone,ENG,MF,19-086,2005,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0
ENG-Premier League,2425,Crystal Palace,Caleb Kporha,ENG,DF,18-161,2006,0.1,7,6,1,0,0,0,2,1,0,0,0,0,5,0,0
ENG-Premier League,2425,Crystal Palace,Chadi Riad,MAR,DF,21-189,2003,1.0,82,82,0,0,0,1,0,0,0,0,0,0,70,0,2
ENG-Premier League,2425,Crystal Palace,Cheick Doucouré,MLI,MF,24-350,2000,3.0,118,116,2,2,0,0,1,0,0,0,0,0,106,0,3
ENG-Premier League,2425,Crystal Palace,Chris Richards,USA,DF,24-270,2000,4.9,211,204,6,4,0,1,0,2,0,0,0,0,178,1,5
ENG-Premier League,2425,Crystal Palace,Daichi Kamada,JPN,MF,28-140,1996,7.9,332,316,16,6,2,2,15,2,8,5,0,0,263,0,9
ENG-Premier League,2425,Crystal Palace,Daniel Muñoz,COL,DF,28-211,1996,15.0,654,523,129,17,0,1,28,110,2,0,0,0,490,2,19
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27-286,1997,17.0,529,366,162,39,0,0,0,0,0,0,0,0,321,1,0
ENG-Premier League,2425,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26-177,1998,12.0,499,408,83,31,4,3,49,2,28,18,4,0,371,8,13
ENG-Premier League,2425,Crystal Palace,Eddie Nketiah,ENG,"MF,FW",25-207,1999,6.4,150,146,4,0,0,0,5,1,0,0,0,0,109,0,10
ENG-Premier League,2425,Crystal Palace,Ismaila Sarr,SEN,"MF,FW",26-302,1998,11.2,270,266,2,0,2,0,24,2,0,0,0,0,184,2,10
ENG-Premier League,2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27-178,1997,13.9,205,202,3,0,2,0,14,0,0,0,0,0,134,0,6
ENG-Premier League,2425,Crystal Palace,Jefferson Lerma,COL,MF,30-059,1994,9.2,425,406,17,8,3,1,1,9,0,0,0,0,331,2,7
ENG-Premier League,2425,Crystal Palace,Jeffrey Schlupp,GHA,"MF,DF",32-000,1992,1.1,49,46,3,0,0,0,4,3,0,0,0,0,38,0,0
ENG-Premier League,2425,Crystal Palace,Joachim Andersen,DEN,DF,28-206,1996,1.0,83,81,2,1,0,0,1,0,1,0,0,0,61,0,0
ENG-Premier League,2425,Crystal Palace,Jordan Ayew,GHA,"FW,MF",33-103,1991,0.2,10,8,2,0,0,1,1,0,1,1,0,0,8,0,0
ENG-Premier League,2425,Crystal Palace,Justin Devenny,NIR,MF,21-073,2003,2.5,98,84,12,3,0,0,12,0,6,3,3,0,70,2,1
ENG-Premier League,2425,Crystal Palace,Marc Guéhi,ENG,DF,24-163,2000,17.0,903,851,48,44,3,8,6,2,0,0,0,0,758,4,4
ENG-Premier League,2425,Crystal Palace,Maxence Lacroix,FRA,DF,24-261,2000,14.0,626,608,18,14,1,3,3,2,0,0,0,0,506,0,3
ENG-Premier League,2425,Crystal Palace,Nathaniel Clyne,ENG,"DF,MF",33-262,1991,4.2,151,138,12,0,1,1,5,10,0,0,0,0,111,1,7
ENG-Premier League,2425,Crystal Palace,Odsonne Édouard,FRA,"MF,FW",26-342,1998,1.3,28,28,0,0,0,0,1,0,0,0,0,0,17,0,2
ENG-Premier League,2425,Crystal Palace,Trevoh Chalobah,ENG,DF,25-171,1999,9.8,359,346,13,9,1,2,5,4,0,0,0,0,284,0,6
ENG-Premier League,2425,Crystal Palace,Tyrick Mitchell,ENG,DF,25-113,1999,16.4,700,578,120,4,0,0,58,116,0,0,0,0,509,2,23
