,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19-256,2005,9.3,1,7,3,42.9,0.75,0.32,0.14,0.33,15.1,0,0,0,0.7,0.7,0.11,0.3,0.3
ENG-Premier League,2425,Brighton,Jakub Moder,POL,MF,25-260,1999,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brighton,James Milner,ENG,MF,38-354,1986,1.9,0,2,0,0.0,1.07,0.0,0.0,,16.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24-198,2000,13.9,0,8,2,25.0,0.58,0.14,0.0,0.0,17.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,34-127,1990,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22-190,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brighton,João Pedro,BRA,"MF,FW",23-088,2001,8.5,4,18,7,38.9,2.11,0.82,0.22,0.57,15.4,0,0,0,2.5,2.5,0.14,1.5,1.5
ENG-Premier League,2425,Brighton,Joël Veltman,NED,DF,32-343,1992,11.4,0,2,0,0.0,0.18,0.0,0.0,,22.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,2425,Brighton,Julio Enciso,PAR,"MF,FW",20-335,2004,1.8,0,11,7,63.6,6.23,3.96,0.0,0.0,23.4,1,0,0,0.5,0.5,0.04,-0.5,-0.5
ENG-Premier League,2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27-217,1997,16.1,3,32,13,40.6,1.99,0.81,0.09,0.23,14.3,0,0,0,4.0,4.0,0.13,-1.0,-1.0
ENG-Premier League,2425,Brighton,Lewis Dunk,ENG,DF,33-032,1991,12.0,0,9,2,22.2,0.75,0.17,0.0,0.0,11.7,1,0,0,0.7,0.7,0.07,-0.7,-0.7
ENG-Premier League,2425,Brighton,Mats Wieffer,NED,MF,25-037,1999,5.2,1,5,2,40.0,0.96,0.38,0.2,0.5,11.0,0,0,0,0.5,0.5,0.09,0.5,0.5
ENG-Premier League,2425,Brighton,Matt O'Riley,DEN,MF,24-032,2000,2.5,1,5,2,40.0,2.04,0.81,0.2,0.5,15.1,0,0,0,0.7,0.7,0.14,0.3,0.3
ENG-Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,26-337,1998,11.8,0,12,3,25.0,1.02,0.25,0.0,0.0,26.6,2,0,0,0.5,0.5,0.04,-0.5,-0.5
ENG-Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",22-357,2002,3.9,1,8,3,37.5,2.06,0.77,0.13,0.33,13.6,0,0,0,0.6,0.6,0.08,0.4,0.4
ENG-Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,24-084,2000,2.9,1,2,1,50.0,0.69,0.35,0.5,1.0,21.5,0,0,0,0.1,0.1,0.05,0.9,0.9
ENG-Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20-154,2004,5.9,2,9,3,33.3,1.51,0.5,0.22,0.67,14.7,0,0,0,1.2,1.2,0.14,0.8,0.8
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,21-078,2003,9.2,0,13,5,38.5,1.41,0.54,0.0,0.0,19.8,0,0,0,1.1,1.1,0.09,-1.1,-1.1
ENG-Premier League,2425,Chelsea,Axel Disasi,FRA,DF,26-287,1998,3.0,1,1,1,100.0,0.33,0.33,1.0,1.0,2.9,0,0,0,0.2,0.2,0.25,0.8,0.8
ENG-Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,23-272,2001,2.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Chelsea,Christopher Nkunku,FRA,FW,27-039,1997,3.6,2,13,4,30.8,3.64,1.12,0.15,0.5,12.2,0,0,0,3.0,3.0,0.23,-1.0,-1.0
ENG-Premier League,2425,Chelsea,Cole Palmer,ENG,MF,22-231,2002,16.4,11,56,21,37.5,3.41,1.28,0.14,0.38,19.8,8,3,3,10.4,8.0,0.14,0.6,0.0
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,23-341,2001,12.8,3,17,7,41.2,1.33,0.55,0.18,0.43,16.9,2,0,0,1.8,1.8,0.1,1.2,1.2
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22-251,2002,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,24-273,2000,7.4,2,9,3,33.3,1.21,0.4,0.22,0.67,14.2,0,0,0,0.8,0.8,0.09,1.2,1.2
ENG-Premier League,2425,Chelsea,João Félix,POR,"FW,MF",25-043,1999,3.3,1,15,3,20.0,4.53,0.91,0.07,0.33,15.5,0,0,0,1.8,1.8,0.12,-0.8,-0.8
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,MF,26-108,1998,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
