,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Newcastle Utd,Joelinton,BRA,"MF,FW",28-131,1996,16,16,1319,14.7,2,0,2,2,0,0,5,0,2.2,2.2,1.3,3.5,22,68,71,0.14,0.0,0.14,0.14,0.14,0.15,0.09,0.24,0.15,0.24
ENG-Premier League,2425,Newcastle Utd,Kieran Trippier,ENG,DF,34-095,1990,9,3,348,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,7,25,18,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.05,0.01,0.05
ENG-Premier League,2425,Newcastle Utd,Lewis Hall,ENG,DF,20-106,2004,17,14,1318,14.6,0,2,2,0,0,0,3,0,0.3,0.3,3.1,3.4,27,79,44,0.0,0.14,0.14,0.0,0.14,0.02,0.21,0.23,0.02,0.23
ENG-Premier League,2425,Newcastle Utd,Lewis Miley,ENG,MF,18-236,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Newcastle Utd,Lloyd Kelly,ENG,DF,26-078,1998,8,4,298,3.3,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.8,0,9,2,0.0,0.3,0.3,0.0,0.3,0.11,0.14,0.25,0.11,0.25
ENG-Premier League,2425,Newcastle Utd,Martin Dúbravka,SVK,GK,35-343,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Newcastle Utd,Miguel Almirón,PAR,FW,30-317,1994,7,1,141,1.6,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.6,2,6,16,0.0,0.0,0.0,0.0,0.0,0.3,0.11,0.41,0.3,0.41
ENG-Premier League,2425,Newcastle Utd,Nick Pope,ENG,GK,32-248,1992,15,15,1350,15.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Newcastle Utd,Sandro Tonali,ITA,MF,24-229,2000,15,8,831,9.2,0,1,1,0,0,0,4,0,1.2,1.2,0.3,1.5,5,32,22,0.0,0.11,0.11,0.0,0.11,0.13,0.03,0.17,0.13,0.17
ENG-Premier League,2425,Newcastle Utd,Sean Longstaff,ENG,MF,27-054,1997,16,8,715,7.9,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,4,38,20,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1
ENG-Premier League,2425,Newcastle Utd,Valentino Livramento,ENG,DF,22-041,2002,17,14,1197,13.3,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.6,31,58,48,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04
ENG-Premier League,2425,Newcastle Utd,William Osula,DEN,"FW,MF",21-141,2003,5,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26
ENG-Premier League,2425,Nott'ham Forest,Anthony Elanga,SWE,"FW,MF",22-240,2002,17,11,884,9.8,2,2,4,2,0,0,1,0,1.3,1.3,1.2,2.5,31,16,61,0.2,0.2,0.41,0.2,0.41,0.13,0.12,0.25,0.13,0.25
ENG-Premier League,2425,Nott'ham Forest,Callum Hudson-Odoi,ENG,"FW,MF",24-046,2000,16,14,1230,13.7,2,1,3,2,0,0,1,0,1.4,1.4,1.6,3.0,74,40,116,0.15,0.07,0.22,0.15,0.22,0.1,0.12,0.22,0.1,0.22
ENG-Premier League,2425,Nott'ham Forest,Chris Wood,NZL,FW,33-016,1991,17,16,1325,14.7,10,0,10,8,2,2,1,0,6.5,4.9,1.0,5.9,10,13,35,0.68,0.0,0.68,0.54,0.54,0.44,0.07,0.51,0.33,0.4
ENG-Premier League,2425,Nott'ham Forest,Danilo,BRA,MF,23-238,2001,1,1,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Nott'ham Forest,Elliot Anderson,ENG,"MF,FW",22-047,2002,16,12,970,10.8,0,5,5,0,0,0,3,0,0.9,0.9,2.5,3.4,24,50,47,0.0,0.46,0.46,0.0,0.46,0.08,0.23,0.32,0.08,0.32
ENG-Premier League,2425,Nott'ham Forest,Eric da Silva Moreira,GER,"MF,DF",18-234,2006,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Nott'ham Forest,Harry Toffolo,ENG,DF,29-126,1995,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
ENG-Premier League,2425,Nott'ham Forest,Ibrahim Sangaré,CIV,MF,27-021,1997,3,3,212,2.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,8,2,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
ENG-Premier League,2425,Nott'ham Forest,James Ward-Prowse,ENG,MF,30-052,1994,6,5,379,4.2,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,1,16,2,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.01,0.05
ENG-Premier League,2425,Nott'ham Forest,Jota Silva,POR,"FW,MF",25-144,1999,16,3,518,5.8,0,1,1,0,0,0,3,0,0.5,0.5,1.3,1.8,16,12,34,0.0,0.17,0.17,0.0,0.17,0.09,0.22,0.32,0.09,0.32
ENG-Premier League,2425,Nott'ham Forest,Matz Sels,BEL,GK,32-301,1992,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Nott'ham Forest,Morato,BRA,DF,23-176,2001,10,1,264,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Nott'ham Forest,Morgan Gibbs-White,ENG,MF,24-331,2000,13,13,1007,11.2,2,2,4,2,0,0,6,1,1.6,1.6,2.5,4.1,29,54,45,0.18,0.18,0.36,0.18,0.36,0.14,0.23,0.37,0.14,0.37
ENG-Premier League,2425,Nott'ham Forest,Murillo,BRA,DF,22-172,2002,17,17,1507,16.7,1,0,1,1,0,0,3,0,1.0,1.0,0.9,1.9,11,49,3,0.06,0.0,0.06,0.06,0.06,0.06,0.05,0.11,0.06,0.11
ENG-Premier League,2425,Nott'ham Forest,Neco Williams,WAL,DF,23-254,2001,14,7,738,8.2,0,1,1,0,0,0,4,0,0.8,0.8,0.5,1.3,23,29,26,0.0,0.12,0.12,0.0,0.12,0.09,0.06,0.16,0.09,0.16
ENG-Premier League,2425,Nott'ham Forest,Nicolás Domínguez,ARG,"MF,FW",26-178,1998,15,9,807,9.0,0,0,0,0,0,0,5,0,1.2,1.2,0.2,1.4,8,31,12,0.0,0.0,0.0,0.0,0.0,0.14,0.02,0.15,0.14,0.15
ENG-Premier League,2425,Nott'ham Forest,Nikola Milenković,SRB,DF,27-072,1997,16,16,1440,16.0,2,1,3,2,0,0,2,0,2.5,2.5,0.2,2.8,2,24,2,0.12,0.06,0.19,0.12,0.19,0.16,0.02,0.17,0.16,0.17
